adj_V_ws,con_V_ws,adj_V_wd,con_V_wd
0.238432992,0.060563677,0.449626408,0.410939429
0.398156094,0.026103894,0.116139374,0.157786224
0.34909776,0.026800896,0.071072271,0.219145823
0.391875464,0.163634846,0.11499097,0.254199432
0.498832986,0.283167935,0.294833929,0.323733394
0.344316678,0.289186116,0.229537621,0.2223966
0.324170181,0.288778458,0.072586542,0.078113036
0.440776362,0.24872239,0.26400194,0.257583077
0.058405144,0.288432664,0.260075588,0.257099103
0.138115509,0.274038705,0.172783998,0.172493026
0.258336285,0.304263114,0.229178928,0.223004293
0.282520443,0.304479726,0.441748722,0.432069799
0.051485529,0.305774502,0.37175313,0.356359104
0.06954154,0.312233837,0.475607112,0.463921974
0.058782253,0.238405426,0.583212301,0.571707413
0.205365625,0.490383368,0.394572821,0.383438965
0.351958083,0.369538697,0.280953852,0.256364122
0.288774957,0.320890087,0.358592433,0.329946454
0.362987323,0.308002407,0.108240329,0.107758161
0.354232791,0.296342102,0.061754933,0.070969528
0.19503094,0.339522334,0.057676236,0.054177273
0.606546141,0.29955238,0.22352829,0.248947394
0.131920694,0.301488941,0.343447086,0.334320514
0.057249417,0.330603802,0.30778086,0.298187803
0.056741931,0.357739306,0.603580831,0.592556689
0.155021241,0.371736167,0.055237885,0.08442283
0.059250904,0.337634969,0.032899662,0.055117595
0.39047807,0.418861562,0.038636903,0.074873183
0.454067111,0.290927967,0.402892767,0.436742999
0.464771131,0.315003062,0.408615016,0.434394365
0.08273939,0.295387349,0.41228438,0.446115013
0.094726585,0.295740631,0.112454495,0.109677533
0.140239812,0.292793875,0.089127832,0.101156853
0.064825489,0.298717392,0.130091564,0.140717674
0.256559778,0.275818176,0.333364237,0.32439603
0.10372007,0.296246631,0.083803375,0.176431768
0.07297765,0.300000303,0.298144409,0.269852462
0.295159352,0.26449444,0.163133173,0.229729257
0.29214557,0.293633999,0.400811169,0.387671784
0.170567614,0.296075077,0.34803016,0.330718402
0.28872757,0.314006967,0.219533727,0.253700077
0.438312817,0.29863621,0.238764824,0.359980516
0.388330808,0.302292657,0.181291798,0.274644484
0.431735818,0.294668176,0.283602511,0.38164083
0.524394182,0.288978221,0.443723973,0.490796595
0.386702763,0.297215399,0.25089328,0.300857392
0.29802784,0.296623262,0.184869907,0.120099976
0.419088117,0.4194926,0.222582178,0.17108124
0.069555349,0.420331951,0.262054844,0.211396569
0.109944582,0.384794582,0.29579612,0.26281295
0.255452971,0.300076041,0.268171784,0.231680959
0.266779656,0.433690809,0.389823773,0.34914683
0.055877094,0.303547879,0.205132913,0.259640817
0.086812459,0.299769295,0.129896765,0.219856848
0.051223501,0.278445836,0.465900311,0.515736155
0.183537159,0.293833318,0.289585602,0.244877839
0.391328729,0.318971746,0.277759939,0.237032392
0.31664162,0.307925446,0.296179741,0.255886209
0.402882938,0.390898073,0.451493809,0.446038341
0.393650006,0.61602269,0.433461091,0.429559796
0.20871989,0.498015432,0.451383234,0.44721449
0.632125629,0.354906245,0.287131284,0.237301701
0.121163362,0.328253063,0.327094192,0.295565892
0.068956127,0.27735419,0.362182573,0.330472494
0.071280986,0.49979739,0.131765552,0.252531196
0.123764388,0.287881338,0.063815378,0.222374645
0.041902844,0.278495951,0.276612204,0.089763323
0.352747708,0.492417193,0.141178211,0.258373425
