"","cnt_av","cnt_sd","diab_av","diab_sd"
"OTU_2791",0.00157461161611316,0.0108790570837378,3.93245149419393e-05,0.000251799754750022
"OTU_1412",0.00410191486217501,0.00863140838615086,0.00366241743443312,0.010539667742287
"OTU_7138",8.67885323793915e-05,0.000549245737773013,0,0
"OTU_8063",0.000541213184831217,0.00449511568421553,0,0
"OTU_6435",5.56245299727217e-05,0.000500620769754496,0,0
"OTU_6516",0.00077858648303013,0.00261012659486922,0,0
"OTU_3789",0.000495600800462414,0.00286262771569248,0.00252632628485097,0.0129893057140965
"OTU_7225",3.5483226546563e-05,0.000319349038919067,0.000555180157758271,0.00180744886484514
"OTU_7330",0,0,0.00020492559151772,0.00131216402191738
"OTU_3097",0.000271450698449339,0.00211490700099069,8.92293351551981e-05,0.000571346518622268
"OTU_149",0.00146138501989883,0.00382979370693052,0.0582872735871781,0.256213418664469
"OTU_6370",0.000441120353714354,0.00213062272689054,4.30884973102006e-05,0.000275901001481505
"OTU_1018",0.000194387291022182,0.000766135281848294,0.000576761074734645,0.00221806346181846
"OTU_3271",0.000263914531210601,0.0015500358988061,7.3798014833401e-05,0.000472537857454179
"OTU_109",0.000284986619579688,0.00133674762966702,0.00065122496419885,0.00230636801628017
"OTU_951",0.0012158964869563,0.00433644515119699,0.00123021132580692,0.00428262525631164
"OTU_8556",0.000310214098027892,0.00161374227666035,0,0
"OTU_2132",0.0100209737209679,0.0402112994143211,0.015300844855761,0.0424939069082403
"OTU_4055",8.51383106702955e-05,0.000457496157330245,0,0
"OTU_567",0.00295580550356197,0.0100129898074788,0.000573767115845819,0.00163492049444426
"OTU_132",0.000719666402961125,0.00333541920650847,0.000135039757692723,0.000651226291560437
"OTU_1912",0.00065161815085783,0.00220173514696525,0.000456724636465556,0.00201217791104993
"OTU_583",0.00776343197773811,0.0177685800414934,0.0429253720015297,0.152012906919655
"OTU_1617",0.000454649792571637,0.0020435103390923,0,0
"OTU_8508",0.000101320325424674,0.000911882928822066,0,0
"OTU_6659",0.000105129024814199,0.000791900769223644,0,0
"OTU_6850",0,0,0.000157298059767757,0.00100719901900009
"OTU_2580",0.000607366966654667,0.00227625585413035,0,0
"OTU_6212",0,0,3.69068242932528e-05,0.000236318981158802
"OTU_5683",0.000568203046485371,0.00220758182594086,0.000102833333531665,0.000498938664285019
"OTU_1708",2.50683865585317e-05,0.000225615479026785,0.000661979686887867,0.00276205504898276
"OTU_39",0.0115574643689088,0.0400735308428172,0.0464002050129515,0.114978657601263
"OTU_1149",0.0166260773666124,0.0745206480976343,0.00436561544594073,0.0127869584978571
"OTU_1982",0.00444782245764907,0.00802503706219937,0.0183054024598489,0.0416200661107083
"OTU_4250",8.27327207531489e-05,0.000601655581897044,0.000474452528094374,0.00216129755172564
"OTU_514",0.00544647115902335,0.0113584864759694,0.0105298972178191,0.0330654445997337
"OTU_1321",0.00361836061544433,0.0114456123718495,0.006452954155229,0.0252508644182854
"OTU_3849",0.00140732817039848,0.00579010975858364,0.00015369419363829,0.000984123016438032
"OTU_4456",0.00116855890889421,0.00576725923452527,0.000628431315129929,0.00195185146388429
"OTU_1578",0.0014147716965582,0.00608306368693882,0.00261233834684247,0.0129716227062546
"OTU_1955",0.0206190657479394,0.0866489898383664,0.0122884655397313,0.0290001093360396
