OTU	Test-Statistic	P	FDR_P	Bonferroni_P	diabetic_skin_mean	wound_mean	
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Rubrivivax	27.40337843	1.65E-07	1.87E-06	0.000186611	0.000472358	0.000165686	0.000306671
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Kaistobacter	24.67684763	6.78E-07	6.18E-06	0.000766069	0.000469919	4.61E-05	0.00042384
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Coxiellaceae;g__Rickettsiella	26.1319748	3.19E-07	3.28E-06	0.000360312	0.000460976	0.000134314	0.000326662
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Aurantimonadaceae;Other	38.62103124	5.15E-10	2.33E-08	5.82E-07	0.000457724	3.43E-06	0.000454292
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__;g__	27.92824025	1.26E-07	1.50E-06	0.000142266	0.000442276	2.25E-05	0.000419727
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium	32.08737569	1.47E-08	2.53E-07	1.67E-05	0.00044065	0.000328922	0.000111729
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus	21.64851844	3.27E-06	2.43E-05	0.00370033	0.000435772	0.000107353	0.000328419
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__	34.22810864	4.90E-09	1.11E-07	5.54E-06	0.000423577	2.40E-05	0.000399558
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__;g__	47.08049182	6.81E-12	9.62E-10	7.70E-09	0.000421951	1.76E-05	0.000404304
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Isosphaeraceae;g__	40.13964151	2.36E-10	1.34E-08	2.67E-07	0.000421951	1.72E-05	0.000404794
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	27.27647384	1.76E-07	1.95E-06	0.000199269	0.000407317	2.45E-06	0.000404866
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter	29.08815192	6.92E-08	9.53E-07	7.81E-05	0.000379675	1.32E-05	0.00036644
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__	43.92444069	3.41E-11	3.21E-09	3.86E-08	0.000379675	2.94E-06	0.000376734
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae;g__	33.19830805	8.32E-09	1.59E-07	9.40E-06	0.000356098	3.14E-05	0.000324725
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;Other	27.71893212	1.40E-07	1.62E-06	0.00015852	0.000354472	8.68E-05	0.000267707
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__;g__	23.68139229	1.14E-06	9.73E-06	0.001284543	0.000352846	2.21E-05	0.000330787
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__[Exiguobacteraceae];g__Exiguobacterium	24.57277692	7.16E-07	6.43E-06	0.000808577	0.000336585	1.42E-05	0.00032237
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__	48.07118217	4.11E-12	6.64E-10	4.64E-09	0.000328455	8.82E-06	0.000319632
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__	35.570592	2.46E-09	6.56E-08	2.78E-06	0.000323577	1.08E-05	0.000312793
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Hymenobacter	33.36536078	7.64E-09	1.51E-07	8.63E-06	0.000322764	4.71E-05	0.000275705
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__Nocardioides	41.77072811	1.03E-10	7.00E-09	1.16E-07	0.000306504	1.08E-05	0.00029572
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium	33.53703417	6.99E-09	1.41E-07	7.90E-06	0.000303252	4.07E-05	0.000262566
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__	43.69542914	3.84E-11	3.33E-09	4.34E-08	0.0003	5.39E-06	0.000294608
k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__JG30-KF-CM45;f__;g__	23.58147134	1.20E-06	1.02E-05	0.001353005	0.000288618	0.000129902	0.000158716
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Rhodococcus	41.51261047	1.17E-10	7.35E-09	1.32E-07	0.000276423	1.32E-05	0.000263187
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter	28.40942477	9.82E-08	1.24E-06	0.00011095	0.000253659	3.43E-06	0.000250227
k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter	21.81605521	3.00E-06	2.29E-05	0.003390888	0.000245528	2.35E-05	0.000221999
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__Aeromicrobium	50.91340415	9.65E-13	2.18E-10	1.09E-09	0.000243902	9.80E-06	0.000234099
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;Other	38.22215034	6.31E-10	2.46E-08	7.13E-07	0.000233333	5.88E-06	0.000227451
