OTU	Test-Statistic	P	FDR_P	Bonferroni_P	diabetic_skin_mean	wound_mean
k__Bacteria;p__Chlamydiae;c__Chlamydiia	7.86095674584	0.00505136562068	0.0133816878723	0.762756208723	1.9512195122e-05	4.41176470588e-06
k__Bacteria;p__Cyanobacteria;c__4C0d-2	7.79623944417	0.0052355084056	0.0136303753318	0.790561769246	1.46341463415e-05	3.43137254902e-06
k__Bacteria;p__Cyanobacteria;c__	6.82101146178	0.00900915297369	0.0223013458857	1.0	1.05691056911e-05	0.0
k__Bacteria;p__Gemmatimonadetes;c__Gemm-5	6.82101146178	0.00900915297369	0.0223013458857	1.0	7.31707317073e-06	0.0
k__Bacteria;p__Spirochaetes;c__Spirochaetes	6.82101146178	0.00900915297369	0.0223013458857	1.0	9.75609756098e-06	0.0
k__Bacteria;p__Chloroflexi;c__TK17	5.06861180761	0.0243628865763	0.0584034360538	1.0	3.25203252033e-06	0.0
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia	5.06831941582	0.0243669964992	0.0584034360538	1.0	5.69105691057e-06	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	4.83632542955	0.0278662125242	0.0657468451742	1.0	0.00877235772358	0.0534642156863
k__Bacteria;p__Gemmatimonadetes;c__Gemm-1	4.13937920481	0.0418965315611	0.0973288656265	1.0	3.17073170732e-05	1.96078431373e-06
k__Bacteria;p__Tenericutes;c__Mollicutes	3.87103648434	0.0491261744405	0.110752324397	1.0	4.06504065041e-05	5.39215686275e-06
k__Bacteria;p__BRC1;c__PRR-11	3.87050409	0.0491417598317	0.110752324397	1.0	4.06504065041e-06	9.80392156863e-07
k__Bacteria;p__Planctomycetes;c__028H05-P-BN-P5	3.34807385457	0.0672837007933	0.137319064513	1.0	1.62601626016e-06	0.0
k__Bacteria;p__Armatimonadetes;c__Chthonomonadetes	3.3477868112	0.0672954355893	0.137319064513	1.0	2.43902439024e-06	0.0
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria	3.3477868112	0.0672954355893	0.137319064513	1.0	2.43902439024e-06	0.0
k__Bacteria;p__GN02;c__BD1-5	3.3477868112	0.0672954355893	0.137319064513	1.0	4.06504065041e-06	0.0
k__Bacteria;p__SR1;c__	3.3477868112	0.0672954355893	0.137319064513	1.0	3.25203252033e-06	0.0
k__Bacteria;p__Verrucomicrobia;c__Verruco-5	3.3477868112	0.0672954355893	0.137319064513	1.0	2.43902439024e-06	0.0
k__Bacteria;p__Verrucomicrobia;c__[Methylacidiphilae]	3.3477868112	0.0672954355893	0.137319064513	1.0	2.43902439024e-06	0.0
k__Bacteria;p__Firmicutes;c__Bacilli	3.04581974697	0.0809452402369	0.162969750344	1.0	0.658664227642	0.529114215686
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria	2.54043555349	0.110964172782	0.220468290659	1.0	7.31707317073e-06	4.90196078431e-07
k__Bacteria;p__Chloroflexi;c__S085	2.50998566451	0.113126960778	0.221846377629	1.0	1.46341463415e-05	1.47058823529e-06
k__Bacteria;p__TM7;c__SC3	2.48002219756	0.115300625545	0.223210185351	1.0	3.25203252033e-06	4.90196078431e-07
k__Bacteria;p__Actinobacteria;c__Nitriliruptoria	2.40584694777	0.12088268483	0.231054245687	1.0	7.31707317073e-06	9.80392156863e-07
k__Archaea;p__Euryarchaeota;c__Thermoplasmata	1.65853658536	0.197801027038	0.331866167586	1.0	8.13008130081e-07	0.0
k__Bacteria;p__Acidobacteria;c__S035	1.65853658536	0.197801027038	0.331866167586	1.0	8.13008130081e-07	0.0
k__Bacteria;p__Armatimonadetes;c__SHA-37	1.65853658536	0.197801027038	0.331866167586	1.0	8.13008130081e-07	0.0
k__Bacteria;p__Chlorobi;c__SJA-28	1.65853658536	0.197801027038	0.331866167586	1.0	8.13008130081e-07	0.0
k__Bacteria;p__Chloroflexi;c__	1.65853658536	0.197801027038	0.331866167586	1.0	3.25203252033e-06	0.0
k__Bacteria;p__OD1;c__ZB2	1.65853658536	0.197801027038	0.331866167586	1.0	1.62601626016e-06	0.0
k__Bacteria;p__OP11;c__	1.65853658536	0.197801027038	0.331866167586	1.0	8.13008130081e-07	0.0
k__Bacteria;p__Planctomycetes;c__OM190	1.65853658536	0.197801027038	0.331866167586	1.0	8.13008130081e-07	0.0
k__Bacteria;p__Proteobacteria;c__	1.65853658536	0.197801027038	0.331866167586	1.0	9.75609756098e-06	0.0
k__Bacteria;p__TM7;c__TM7-1	1.65853658536	0.197801027038	0.331866167586	1.0	8.13008130081e-07	0.0
k__Bacteria;p__WS2;c__SHA-109	1.65853658536	0.197801027038	0.331866167586	1.0	1.62601626016e-06	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	1.28189643929	0.257546722087	0.427357747639	1.0	0.115244715447	0.248834803922
k__Bacteria;p__Firmicutes;c__Clostridia	1.20524737354	0.272275414141	0.446886821036	1.0	0.0229837398374	0.0663338235294
k__Bacteria;p__Chlorobi;c__OPB56	1.1820166957	0.276945818522	0.449664716096	1.0	8.94308943089e-06	1.96078431373e-06
k__Bacteria;p__;c__	0.602941176468	0.437458029322	0.680991365234	1.0	0.0	4.90196078431e-07
k__Bacteria;p__Aquificae;c__Aquificae	0.602941176468	0.437458029322	0.680991365234	1.0	0.0	2.8431372549e-05
k__Bacteria;p__Fibrobacteres;c__TG3	0.602941176468	0.437458029322	0.680991365234	1.0	0.0	4.90196078431e-07
k__Bacteria;p__NKB19;c__	0.602941176468	0.437458029322	0.680991365234	1.0	0.0	1.51960784314e-05
k__Archaea;p__Euryarchaeota;c__Halobacteria	0.527666087056	0.46758974101	0.720469907066	1.0	6.50406504065e-06	4.41176470588e-06
k__Bacteria;p__Acidobacteria;c__DA052	0.14190445826	0.70639501576	1.0	1.0	2.43902439024e-06	4.90196078431e-07
k__Bacteria;p__Cyanobacteria;Other	0.14190445826	0.70639501576	1.0	1.0	3.25203252033e-06	4.90196078431e-07
k__Bacteria;p__TM6;c__SJA-4	0.14190445826	0.70639501576	1.0	1.0	6.50406504065e-06	4.90196078431e-07
k__Archaea;p__Euryarchaeota;c__Methanomicrobia	0.122356395132	0.726492709299	1.0	1.0	8.13008130081e-07	9.80392156863e-07
k__Bacteria;p__Bacteroidetes;c__	0.122356395132	0.726492709299	1.0	1.0	1.62601626016e-06	3.43137254902e-06
k__Bacteria;p__Spirochaetes;c__MVP-15	0.122356395132	0.726492709299	1.0	1.0	8.13008130081e-07	9.80392156863e-07
k__Bacteria;p__Spirochaetes;c__[Leptospirae]	0.0311776665332	0.859844599577	1.0	1.0	3.25203252033e-06	9.3137254902e-06
k__Archaea;p__Crenarchaeota;c__MCG	nan	nan	1.0	nan	0.0	0.0
k__Archaea;p__[Parvarchaeota];c__[Parvarchaea]	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__AD3;c__ABS-6	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__AD3;c__JG37-AG-4	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__Acidobacteria;c__	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-5	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__Acidobacteria;c__BPC102	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__Acidobacteria;c__EC1113	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Holophagae	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__Acidobacteria;c__PAUC37f	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__Acidobacteria;c__RB25	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__Acidobacteria;c__TM1	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__Actinobacteria;c__OPB41	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__Armatimonadetes;c__OPB50	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__Armatimonadetes;c__OS-L	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__Armatimonadetes;c__SJA-176	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__BHI80-139;c__	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__Bacteroidetes;Other	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__At12OctB3	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__VC2_1_Bac22	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__Chlorobi;c__	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__Chlorobi;c__BSV26	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__Chlorobi;c__Ignavibacteria	nan	nan	1.0	nan	0.0	0.0
