OTU	Test-Statistic	P	FDR_P	Bonferroni_P	control_mean	diabetes_mean	taxonomy
OTU_678	12.0872345413	0.000507682195523	0.002194430388	0.537635445059	1.96296296296	0.390243902439	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__
OTU_2145	11.9387546063	0.000549782183736	0.00235745430128	0.582219332577	8.77777777778	1.92682926829	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria
OTU_789	11.9385246098	0.000549850058939	0.00235745430128	0.582291212416	15.0740740741	8.51219512195	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Agrobacterium; s__vitis
OTU_3	11.8455749428	0.000577985273615	0.00246809034177	0.612086404758	15927.7407407	10957.902439	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__
OTU_3822	11.8287871233	0.000583219717268	0.00248044048428	0.617629680587	9.18518518519	1.68292682927	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rubellimicrobium; s__
OTU_2095	11.7718391544	0.000601335352685	0.00254725655398	0.636814138494	4.88888888889	1.82926829268	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__; s__
OTU_8360	11.7056438826	0.000623108166784	0.00262897031325	0.659871548625	0.888888888889	0.0487804878049	k__Bacteria; p__Armatimonadetes; c__[Fimbriimonadia]; o__[Fimbriimonadales]; f__[Fimbriimonadaceae]; g__Fimbriimonas; s__
OTU_1832	11.6725540688	0.000634288743066	0.00266552293217	0.671711778907	13.1604938272	4.48780487805	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; s__
OTU_1164	11.6633153395	0.000637446407266	0.00266820452685	0.675055745294	2.02469135802	0.170731707317	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__; s__
OTU_169	11.6134947839	0.000654750058662	0.00271968732122	0.693380312123	30.3456790123	7.53658536585	k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta; f__; g__; s__
OTU_1601	11.6131194159	0.000654882216157	0.00271968732122	0.69352026691	3.74074074074	1.31707317073	k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__
OTU_78	11.59612593	0.000660893493878	0.00273393050788	0.699886210017	4.71604938272	1.41463414634	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__; s__
OTU_577	11.5738336321	0.000668863773463	0.00275613515991	0.708326736098	0.888888888889	0.121951219512	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__Gemmata; s__
