CRvCR	CLvCL	CLvCR	DCvDC	DAvDA	DAvDC
0.195097615	0.184971447	0.231607758	0.211070476	0.166074749	0.167812828
0.208527007	0.107796549	0.199474622	0.132227864	0.12654545	0.345321751
0.145696046	0.118364791	0.112893545	0.190475236	0.055430366	0.257466565
0.140989632	0.120424349	0.179275894	0.218583376	0.240794731	0.32965758
0.145897086	0.162797794	0.119128556	0.140459375	0.115915903	0.21475868
0.139859749	0.154856636	0.118117976	0.258456954	0.078679311	0.270048002
0.162396671	0.173871436	0.123103274	0.097873833	0.313867289	0.085559481
0.257683365	0.202978665	0.17164025	0.246254237	0.182470298	0.112976566
0.265413256	0.123340237	0.160314434	0.239983267	0.351150985	0.110978179
0.219866646	0.218515454	0.170695577	0.269341089	0.081677488	0.183545743
0.182173687	0.160268682	0.199861514	0.101331372	0.292527572	0.299638946
0.253589007	0.217566394	0.120834228	0.227293426	0.103563636	0.092727564
0.199328677	0.136690686	0.212400589	0.239662499	0.106417474	0.125253209
0.237206239	0.168499298	0.156310297	0.141273619	0.120193718	0.201594168
0.250148498	0.136063432	0.211345657	0.166879893	0.121891128	0.095789284
0.24443278	0.150232231	0.137452213	0.195873057	0.102277649	0.097412068
0.174836781	0.111363426	0.167039501	0.254512571	0.057805613	0.154477989
0.285502575	0.206026177	0.136202435	0.2052742	0.092480396	0.028276945
0.271552903	0.172964558	0.159408332	0.247694181	0.094559305	0.042553981
0.165513149	0.178831503	0.12510322	0.255960877	0.109803247	0.107686589
0.174413085	0.23777334	0.218950877	0.133590786	0.087286127	0.063258842
0.199597618	0.161183699	0.191754926	0.176819668	0.17972845	0.102251054
0.218670855	0.194360812	0.130440718	0.124570739	0.111523118	0.109613319
0.259166035	0.185109271	0.045589476	0.14492159	0.062795714	0.239167079
0.1887916	0.222044902	0.192588346	0.190293083	0.139235978	0.22558231
0.226190854	0.204354752	0.200744655	0.162971058	0.121773802	0.16886036
0.160332759	0.148527931	0.232188859	0.140500364	0.106060822	0.062968744
0.248476213	0.222679736	0.154265851	0.163842055	0.124489148	0.243684825
0.193249701	0.217580329	0.215439968	0.143731202	0.060602145	0.075332882
0.234615497	0.260697756	0.205931934	0.370152844	0.25640442	0.073539532
0.233745515	0.220845528	0.250653657	0.21830109	0.236974333	0.06466499
0.148741982	0.140514116	0.22884101	0.159939351	0.065785663	0.064450649
0.172865772	0.134632776	0.140838404	0.141815906	0.055126254	0.097273037
0.231340802	0.169860159	0.249208201	0.195586915	0.055375452	0.078064374
0.276533324	0.205598962	0.239318909	0.222353603	0.066218429	0.2031336
0.270588209	0.222631134	0.286296234	0.20633689	0.184121161	0.444937196
0.287877836	0.194754621	0.204920674	0.200112716	0.067106261	0.333543328
0.20602124	0.175938689	0.130255913	0.230666505	0.050202181	0.142938094
0.157142592	0.247449777	0.120742599	0.222830247	0.252729437	0.111512812
0.218686127	0.148906268	0.173172618	0.287198465	0.121374163	0.058067181
0.213093566	0.230806447	0.231705727	0.199956924	0.059896563	0.331844949
0.232900464	0.150958904	0.208669154	0.261515232	0.068646193	0.071157772
